route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,ext_route_type
BlueS,VTA,Blue Line (Bayp-Capt),Baypointe - Capitol,Temporary Blue Line,0,https://www.vta.org/alerts,4cb4e7,FFFFFF,1,110
Blue,VTA,Blue Line,Baypointe - Santa Teresa,,0,https://www.vta.org/go/routes/blue-line,4cb4e7,000000,1,900
851,VTA,BusBridge Caltrain (MPK-SCL)),Menlo Park - Santa Clara Caltrain Bus Bridge,Temporary Caltrain Bus Bridge,3,https://www.caltrain.com/,d60e51,FFFFFF,1,714
BlueN,VTA,Blue Line (Blos-Trsa),Blossom Hill - Santa Teresa,Temporary Blue Line,0,https://www.vta.org/alerts,4cb4e7,FFFFFF,2,110
Green,VTA,Green Line,Old Ironsides - Winchester,,0,https://www.vta.org/go/routes/green-line,73c92d,000000,2,900
BBBLS,VTA,BusBridge (Capt-Blos),Capitol - Blossom Hill Bus Bridge,Temporary VTA Bus Bridge,3,https://www.vta.org/alerts,e4002b,FFFFFF,3,110
Ornge,VTA,Orange Line,Mountain View - Alum Rock,,0,https://www.vta.org/go/routes/orange-line,ff8300,000000,3,900
500,VTA,Rapid 500,San Jose Diridon - Berryessa BART,"Rapid buses may depart up to five minutes earlier than the time shown, if traffic allows.",3,https://www.vta.org/go/routes/rapid-500,e4002b,FFFFFF,4,702
522,VTA,Rapid 522,Palo Alto Transit Center - Eastridge,"Rapid buses may depart up to five minutes earlier than the time shown, if traffic allows.",3,https://www.vta.org/go/routes/rapid-522,e4002b,FFFFFF,5,702
523,VTA,Rapid 523,San Jose State -  Lockheed Martin via De Anza College,"Rapid buses may depart up to five minutes earlier than the time shown, if traffic allows.",3,https://www.vta.org/go/routes/rapid-523,e4002b,FFFFFF,6,702
568,VTA,Rapid 568,Gilroy Transit Center - San Jose Diridon,"Rapid buses may depart up to five minutes earlier than the time shown, if traffic allows.",3,https://www.vta.org/go/routes/rapid-568,e4002b,FFFFFF,7,702
20,VTA,20,Milpitas BART - Sunnyvale Transit Center,,3,https://www.vta.org/go/routes/20,29588c,FFFFFF,20,704
21,VTA,21,Stanford Shopping Center - Santa Clara Transit Center,,3,https://www.vta.org/go/routes/21,29588c,FFFFFF,21,704
22,VTA,22,Palo Alto Transit Center - Eastridge,,3,https://www.vta.org/go/routes/22,e4002b,FFFFFF,22,702
23,VTA,23,De Anza College - Alum Rock Station via Stevens Creek,,3,https://www.vta.org/go/routes/23,e4002b,FFFFFF,23,702
25,VTA,25,De Anza College - Alum Rock Station via Valley Med,,3,https://www.vta.org/go/routes/25,e4002b,FFFFFF,25,702
26,VTA,26,West Valley College - Eastridge,,3,https://www.vta.org/go/routes/26,e4002b,FFFFFF,26,702
27,VTA,27,Winchester Station - Kaiser San Jose via Downtown Los Gatos,,3,https://www.vta.org/go/routes/27,29588c,FFFFFF,27,704
31,VTA,31,Evergreen Valley College - Eastridge,,3,https://www.vta.org/go/routes/31,29588c,FFFFFF,31,704
37,VTA,37,West Valley College - Capitol Station,,3,https://www.vta.org/go/routes/37,29588c,FFFFFF,37,704
39,VTA,39,Eastridge - The Villages,,3,https://www.vta.org/go/routes/39,29588c,FFFFFF,39,704
40,VTA,40,Foothill College - Mountain View Transit Center via North Bayshore,,3,https://www.vta.org/go/routes/40,29588c,FFFFFF,40,704
42,VTA,42,Evergreen Valley College - Santa Teresa Station,,3,https://www.vta.org/go/routes/42,29588c,FFFFFF,42,704
44,VTA,44,Milpitas BART - McCarthy Ranch via Tasman & Alder,,3,https://www.vta.org/go/routes/44,29588c,FFFFFF,44,704
47,VTA,47,Milpitas BART - McCarthy Ranch via Park Victoria,,3,https://www.vta.org/go/routes/47,29588c,FFFFFF,47,704
51,VTA,51,Moffett Field/Ames Center - West Valley College,,3,https://www.vta.org/go/routes/51,29588c,FFFFFF,50,704
52,VTA,52,Foothill College - Mountain View Transit Center via El Monte,,3,https://www.vta.org/go/routes/52,29588c,FFFFFF,52,704
53,VTA,53,Sunnyvale Transit Center - Santa Clara Transit Center,,3,https://www.vta.org/go/routes/53,29588c,FFFFFF,53,704
